"Position","Name","Age Group","Flag","time","Global ranking points","id"
"#175","Heimola Mikko",NA,NA,"1:07:34.3","N/A",1252
"#176","ENETJARN Anders",NA,NA,"1:07:40.7","N/A",1252
"#177","JOHANSSON Gunnar",NA,NA,"1:07:43.3","N/A",1252
"#178","SACCOMAN Daniele",NA,NA,"1:07:56.5","N/A",1252
"#179","MALM Mats",NA,NA,"1:08:02.2","N/A",1252
"#180","MIETTINEN Aeikki",NA,NA,"1:08:25.6","N/A",1252
"#181","KALLIOINEN Arto",NA,NA,"1:09:03.8","N/A",1252
"#182","Alakuijala Pekka",NA,NA,"1:09:27.6","N/A",1252
"#183","ARNLUNS Mats",NA,NA,"1:10:07.7","N/A",1252
"#184","CHEREDICOV Aleksey",NA,NA,"1:10:09.3","N/A",1252
"#185","TANFOGLIO CLAUDIO",NA,NA,"1:10:11.7","N/A",1252
"#186","Matsuyama Minoru",NA,NA,"1:10:20.3","N/A",1252
"#187","Valve Teuvo",NA,NA,"1:10:46.9","N/A",1252
"#188","ZILKA VLADIMIR",NA,NA,"1:11:37.7","N/A",1252
"#189","HALMETOSA Timo",NA,NA,"1:11:38.6","N/A",1252
"#190","PEKKALA Risto",NA,NA,"1:11:39.0","N/A",1252
"#191","DANIELSSON Andreas",NA,NA,"1:11:42.3","N/A",1252
"#192","SANDSTROEN Lennart",NA,NA,"1:11:46.2","N/A",1252
"#193","Alakuijala Martti",NA,NA,"1:12:03.2","N/A",1252
"#194","KOSONEN Taisto",NA,NA,"1:12:14.4","N/A",1252
"#195","CIMINO Antonio",NA,NA,"1:12:17.6","N/A",1252
"#196","Kemiläinen Risto",NA,NA,"1:12:41.5","N/A",1252
"#197","VAROTTO Valter",NA,NA,"1:12:59.2","N/A",1252
"#198","KATZEROVA Mirka",NA,NA,"1:13:51.0","N/A",1252
"#199","KATSET Ladislav",NA,NA,"1:14:03.4","N/A",1252
"#200","TRONCHIN Antonio",NA,NA,"1:14:07.2","N/A",1252
"#201","CASALI Luciano",NA,NA,"1:14:16.7","N/A",1252
"#202","MANARA Francesco",NA,NA,"1:14:36.5","N/A",1252
"#203","BEI Fabrizio",NA,NA,"1:15:29.3","N/A",1252
"#204","CASADIO CARLO",NA,NA,"1:16:09.6","N/A",1252
"#205","NEVANLINNA Jaakko",NA,NA,"1:16:38.9","N/A",1252
"#206","LOVATO Lanfranco",NA,NA,"1:16:45.0","N/A",1252
"#207","MARIANI Rocco",NA,NA,"1:18:38.6","N/A",1252
"#208","LUGLI Alberto",NA,NA,"1:19:13.9","N/A",1252
"#209","DI DOMENICANTONIO MARIO",NA,NA,"1:14:36.5","N/A",1252
"#210","DECEMBRINI Gian Franco",NA,NA,"1:19:22.9","N/A",1252
"#211","OSTMAN Clas",NA,NA,"1:19:33.0","N/A",1252
"#212","PIRAZZINI Davide",NA,NA,"1:19:50.9","N/A",1252
"#213","RICCI MINGAMI Alberto",NA,NA,"1:20:00.8","N/A",1252
"#214","STRID Bengt",NA,NA,"1:20:03.8","N/A",1252
"#215","ROSCETTI ENRICO",NA,NA,"1:20:57.3","N/A",1252
"#216","ANDERSSON Jan",NA,NA,"1:21:43.5","N/A",1252
"#217","BEGGI Franco",NA,NA,"1:23:23.7","N/A",1252
"#218","RINALDI Guglielmo",NA,NA,"1:23:36.7","N/A",1252
"#219","CARLONI Paolo",NA,NA,"1:23:37.3","N/A",1252
"#220","FABRIS Sergio",NA,NA,"1:23:46.7","N/A",1252
"#221","HOGBERG Leif",NA,NA,"1:24:05.3","N/A",1252
"#222","TURUNEN Ilkka",NA,NA,"1:24:28.6","N/A",1252
"#223","MARCHI Roberto",NA,NA,"1:25:15.6","N/A",1252
"#224","WIEZOREK Klaus Dieter",NA,NA,"1:25:56.6","N/A",1252
"#225","ARTONI Paolo",NA,NA,"1:27:08.6","N/A",1252
"#226","REHULA Antti",NA,NA,"1:27:32.7","N/A",1252
"#227","ELGH Fredrik",NA,NA,"1:30:07.6","N/A",1252
"#228","DALLA LIBERA UmbertoÙ",NA,NA,"1:30:11.3","N/A",1252
"#229","DAL MOLIN Giorgio",NA,NA,"1:30:13.0","N/A",1252
"#230","WONG Jacques",NA,NA,"1:30:56.5","N/A",1252
"#231","Rautiainen Veli",NA,NA,"1:32:01.5","N/A",1252
"#232","RAJASAARI MATTI",NA,NA,"1:32:02.1","N/A",1252
"#233","AMPEZZAN Corrado",NA,NA,"1:35:04.7","N/A",1252
"#234","GRASSE Klaus Dieter",NA,NA,"1:38:35.6","N/A",1252
"#235","Priebs Wilfried",NA,NA,"1:40:12.7","N/A",1252
"#236","LEGER Raymond",NA,NA,"1:40:42.2","N/A",1252
"#237","Singh Preetam",NA,NA,"1:55:40.1","N/A",1252
"#1","MILLEREAU Jérémie",NA,NA,"3:19.35,9","N/A",1258
"#2","MONDON Thibault",NA,NA,"3:19.37,2","N/A",1258
"#3","Mougel Adrien",NA,NA,"3:19.46,0","N/A",1258
"#4","Tarantola Damien",NA,NA,"3:20.52,2","N/A",1258
"#5","Perrillat-Collomb Christophe",NA,NA,"3:20.57,4","N/A",1258
"#6","Buisson Emilien",NA,NA,"3:20.57,8","N/A",1258
"#7","Bonaldi Sergio",NA,NA,"3:21.37,2","N/A",1258
"#8","Sretr Radek",NA,NA,"3:22.40,4","N/A",1258
"#9","Fischer Remo",NA,NA,"3:22.53,3","N/A",1258
"#10","Utkin Mikhail",NA,NA,"3:23.43,6","N/A",1258
"#11","CHAUVET Benoît",NA,NA,"3:24.53,8","N/A",1258
"#12","Pralong Candide",NA,NA,"3:25.40,8","N/A",1258
"#13","Gaillard Cyril",NA,NA,"3:27.10,6","N/A",1258
"#14","Pinel Florian",NA,NA,"3:27.12,7","N/A",1258
"#15","Coupat Olivier",NA,NA,"3:27.14,6","N/A",1258
"#16","Berthet Nicolas",NA,NA,"3:27.29,8","N/A",1258
"#17","CASSEZ Mathieu",NA,NA,"3:30.14,6","N/A",1258
"#18","PASSERON Stephane",NA,NA,"3:30.46,9","N/A",1258
"#19","Berhault Guillaume",NA,NA,"3:31.42,3","N/A",1258
"#20","PELLEGRINI Théo",NA,NA,"3:32.24,1","N/A",1258
"#21","PETR Pavel",NA,NA,"3:32.49,9","N/A",1258
"#22","ROY Didier",NA,NA,"3:33.55,4","N/A",1258
"#23","CANNELLE Eddy",NA,NA,"3:33.55,7","N/A",1258
"#24","THEVENARD Xavier",NA,NA,"3:33.58,4","N/A",1258
"#25","FRANCOIS Arnaud",NA,NA,"3:34.03,0","N/A",1258
"#26","Jacquier Romain",NA,NA,"3:34.21,6","N/A",1258
